# Residuals   
# Time        	p_rgh         	Ux            	Uy            
0             	N/A	N/A
3.53          	8.857191e-07	8.973682e-07	1.153485e-05
3.54          	9.903135e-07	9.019501e-07	9.929564e-06
3.55          	8.320823e-07	8.095925e-07	2.081939e-06
3.56          	9.952386e-07	9.178720e-07	8.933083e-06
3.57          	8.239144e-07	7.915087e-07	1.934749e-06
3.58          	8.183623e-08	1.801223e-06	6.512252e-06
3.59          	7.497187e-07	7.700263e-07	2.601683e-06
3.6           	7.675618e-08	1.175905e-06	4.854968e-06
3.61          	7.792467e-07	7.610980e-07	2.652294e-06
3.62          	8.958283e-08	1.455626e-06	6.076306e-06
3.63          	7.865440e-07	7.601155e-07	2.716825e-06
3.64          	9.168651e-08	1.469043e-06	6.367324e-06
3.65          	8.894044e-08	1.219393e-05	7.389631e-05
3.66          	6.949924e-08	1.096780e-06	4.565831e-06
3.67          	7.004955e-08	1.410731e-06	6.296568e-06
3.68          	7.505804e-08	1.135922e-06	4.941662e-06
3.69          	7.291338e-08	1.420533e-06	6.504631e-06
3.7           	7.845432e-08	1.133963e-06	4.933286e-06
3.71          	4.330848e-08	8.024608e-06	4.247996e-05
3.72          	9.582580e-08	7.015842e-06	5.598655e-05
3.73          	9.353172e-08	1.219426e-05	7.820144e-05
3.74          	6.862326e-07	1.249374e-06	1.870697e-05
3.75          	9.420364e-08	1.221652e-05	7.902512e-05
3.76          	7.746885e-07	1.255417e-06	2.068187e-05
3.77          	9.428513e-08	1.165621e-05	7.664957e-05
3.78          	7.125480e-07	1.210292e-06	1.822638e-05
3.79          	1.044732e-07	1.165022e-05	7.961940e-05
3.8           	7.158255e-07	1.192152e-06	1.837021e-05
3.81          	4.069901e-08	7.740868e-06	4.553479e-05
3.82          	7.405700e-07	1.028525e-06	1.980883e-05
3.83          	4.580674e-08	7.593678e-06	3.934625e-05
3.84          	7.803727e-07	1.086347e-06	2.117645e-05
3.85          	4.896745e-08	8.033404e-06	4.240754e-05
3.86          	7.799742e-07	1.133264e-06	2.069067e-05
3.87          	4.250493e-08	7.964445e-06	4.229655e-05
